streamerId,install_date,registration_date,gender,streamer_type,followers,coins_earned_all_time,avg_stream_duration,avg_watchers_per_stream,avg_earned_coins_per_stream
62d151020e91c22bc5682781,2022-07-15,2022-07-15,male,Individual,44,0,3.21,12.5,0
633a972c08aa4f2581ad3ea8,2022-10-03,2022-10-03,male,Individual,,0,2,4,0
6339d23694c9c82f2a4a3543,2022-10-02,2022-10-02,male,Individual,,0,1,0,0
632cbec3db772141afd58f9c,2022-09-22,2022-09-22,iPreferNotToSay,Individual,358,370,12.46,155.46,78.46
633873c408aa4f2581ac9cb7,2022-10-01,2022-10-01,male,Individual,,0,2.5,13,0
633ab16f08aa4f2581ad4377,2022-10-03,2022-10-03,iPreferNotToSay,Individual,,0,2,4,0
6338642008aa4f2581ac9788,2022-10-01,2022-10-01,male,Individual,,0,1,2,0
6331e5ac3750b15f9c5ba376,2022-09-26,2022-09-26,female,Official,2439,20811,1.36,5.9,7.4
633a811994c9c82f2a4a6c8b,2022-10-03,2022-10-03,female,Official,601,18105,3.19,16.1,50.71
6339f45394c9c82f2a4a454d,2022-10-02,2022-10-02,female,Individual,,0,1,1,0
633863c508aa4f2581ac975c,2022-10-01,2022-10-01,iPreferNotToSay,Individual,,0,3,6,0
63307e97d177d161de05dc86,2022-09-25,2022-10-03,iPreferNotToSay,Individual,,0,1,8,0
633af2ce08aa4f2581ad5325,2022-10-03,2022-10-03,iPreferNotToSay,Individual,,0,1,0,0
6339648908aa4f2581ace031,2022-10-02,2022-10-02,iPreferNotToSay,Individual,,0,1,4,0
6336030f30b4f027e73ad691,2022-09-29,2022-09-29,female,Individual,913,5756,7.15,66.25,78.36
6333333dd177d12107066c09,2022-09-27,2022-10-02,male,Individual,,0,2,12,0
6338d54e08aa4f2581acbc30,2022-10-02,2022-10-02,female,Individual,,0,3.5,20.25,0
6333464f3750b1fb565c0505,2022-09-27,2022-09-27,female,Official,7814,284318,7.89,145.51,305.39
63350cf130b4f027e73aba6f,2022-09-29,2022-09-29,female,Official,20,0,67,182.9,0
630b6ef744af591800cf0a8e,2022-08-28,2022-08-28,male,Individual,13,0,10.52,26.81,0
633ac8e108aa4f2581ad4939,2022-10-03,2022-10-03,female,Individual,,0,2.5,21,0
63396ef308aa4f2581ace24c,2022-10-02,2022-10-02,female,Official,12,20460,29.66,68.83,193.02
630407c0ab766d4d8ff89ffa,2022-08-22,2022-08-22,female,Official,1944,18895,13.04,87.15,107.39
6339846108aa4f2581ace75b,2022-10-02,2022-10-02,female,Official,611,20406,19.32,57.72,127.54
